text,label,flag_words_strict,explanation
"කණ්ඩායම් නායකයෝ අහලා තියෙනවා රහසේ පාලනයක් තියෙනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස, රහසේ, පාලනය",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔයාලා සහමුලින්ම වැඩකට නැහැ. වගකීම ගන්න! නෙමෙයිද?,HATE,වගකීම ගන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය සෙට් එක වගකීමක් නෑ දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
එයාලාට ලජ්ජා නැද්ද? මෙහෙම කරන්නේ වගකීමක් නෑ ඉතින්.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"කතාවක් යනවා ගුරුවරුන් දත්ත මාරු කරලා ප්‍රතිඵල වෙනස් කරනවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,තහවුරු,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
මේක ඔය admin ලාගේ පුරුද්දක් වගේ—හරිම අප්පිරියයි,HATE,අප්පිරිය,Matched hate/harassment lexicon (insults/commands/threat markers).
"ටික්ටොක්කර්ලා අතුරින් කිහිපය අවස්ථා කිහිපයකදී අතිශය සරල වගේ අඩුපාඩු පේන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"රාජ්‍ය සේවකයන් තුළ දුර්වලතා කිහිපයක් තිබ්බත්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
සමාජ මාධ්‍ය පරිශීලකයන් ගැන සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් හෙළිවුණා කියලා කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"රහස, හෙළි, හෙළිවුණා, තහවුරු",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"බ්ලොග් ලියන අය කියනවා රහසේ පාලනයක් තියෙනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස, රහසේ, පාලනය",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"දේශපාලකයන් අතුරින් කිහිපය මේ දවස්වල අධික වේගයෙන් වගේ පෙනෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය පිරිස බොහොම ඇත්තටම නරකයි නේද? මොළේ යොදාගන්න! හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"දේශපාලකයන් ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කතාවක් යනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
"මාධ්යවේදීන් අතුරින් කිහිපය පසුගිය කාලේදී අධික වේගයෙන් වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයාලා කියන දේ අහන්නත් අමාරුයි. සහමුලින්ම අදාල නැති වැඩ. මොළේ යොදාගන්න!,HATE,අදාල නැති,Matched hate/harassment lexicon (insults/commands/threat markers).
එයාලාගේ වැඩ අසාර්ථකයි,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය කණ්ඩායම සහමුලින්ම ඇත්තටම නරකයි නේද? වගකීම ගන්න! ඒකයි.,HATE,වගකීම ගන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
"වෛද්‍යවරුන් තුළ දුර්වලතා කිහිපයක් තිබ්බත්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"දේශපාලකයන් සමහර වෙන වෙන වෙලාවට අධික වේගයෙන් වගේ වගේ හැඟෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"සමාජ මාධ්‍ය පරිශීලකයන් සතියකට වරක් වගේ වැඩි පාරදර්ශිතාව වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය කණ්ඩායමගේ වැඩ ලජ්ජාවක්,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
වෛද්‍යවරුන් මේ දවස්වල අපැහැදිලි වගේ වගේ හැඟෙන්න පුළුවන්. ඒත් හැමෝම එකම විදිය නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"යූටියුබර්ලා සමහර වෙලාවට වැඩි වගකීම වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
සමාජ මාධ්‍ය පරිශීලකයන් වෙන වෙන වෙලාවට අතිශය සරල වගේ වගේ හැඟෙන්න පුළුවන්. එහෙම කියලා හැමෝම නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය කණ්ඩායම කියන දේ අහන්නත් අමාරුයි. අතිශය වගකීමක් නෑ. මොළේ යොදාගන්න! ඒකයි.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය ටීම් එක වැඩේ අතිශය අසභ්‍ය වැඩ. සමාජය අවුල් කරනවා. වගකීම ගන්න! නෙමෙයිද?,HATE,වගකීම ගන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
"කියනවා වෘත්තීයවේදීන් බේරාගන්න නීති රහසේ වෙනස් කරනවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,"රහස, රහසේ, තහවුරු",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"රාජ්‍ය සේවකයන් ගොඩක් අය කියනවා සැබෑ තොරතුරු සඟවලා බොරුව පතුරවනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
ඔය කණ්ඩායම කියන දේ අහන්නත් අමාරුයි. සහමුලින්ම අදාල නැති වැඩ. කඩිනම්ව වෙනස් වෙන්න! ඉතින්.,HATE,"අදාල නැති, වෙනස් වෙන්න",Matched hate/harassment lexicon (insults/commands/threat markers).
එයාලාගේ වැඩ මෝඩ තීරණ නෙමෙයිද?,HATE,මෝඩ,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔයා හරිම වැඩකට නැහැ. දැන්ම හදාගන්න! දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය සෙට් එකගේ වැඩ අසභ්‍ය වැඩ දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය admin ලා කියන දේ අහන්නත් අමාරුයි. හදවතින්ම වැඩකට නැහැ. මොළේ යොදාගන්න! දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"දේශපාලකයන් පසුගිය කාලේදී වැඩි දත්ත/සාක්ෂි සමඟ වැඩිපුර පැහැදිලි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය කණ්ඩායමට ලජ්ජා නැද්ද? මෙහෙම කරන්නේ වැඩකට නැහැ,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
බ්ලොග් ලියන අය පසුගිය කාලේදී අඩු සාක්ෂි වගේ අඩුපාඩු පේන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
යූටියුබර්ලා අලුත් ප්‍රවණතාවයක් වෙලා අපැහැදිලි වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය පිරිස අසභ්‍ය වැඩ,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔයා වැඩේ හදවතින්ම කට්ට කාලයක් නාස්ති. වෙන අයට හානියක් කරනවා. නවත්තන්න! හරිද?,HATE,නවත්ත,Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
"වෘත්තීයවේදීන් කුඩා පිරිසක් අවස්ථා කිහිපයකදී පක්ෂපාති වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"බ්ලොග් ලියන අය ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"හෙළි, හෙළිවුණා",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"ගොඩක් අය කියනවා රාජ්‍ය සේවකයන් සැබෑ තොරතුරු සඟවලා බොරුව පතුරවනවා කියලා, මමත් තහවුරු කරලා නැහැ.",DISINFO,තහවුරු,Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය ටීම් එක වැඩේ අතිශය කට්ට කාලයක් නාස්ති. වැඩක් නැති වාද කරන්නෙ. වගකීම ගන්න! නෙමෙයිද?,HATE,වගකීම ගන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
"කාර්ය මණ්ඩලය කුඩා පිරිසක් අදාල තත්ත්වය අනුව අඩු සාක්ෂි වගේ අඩුපාඩු පේන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පොලිස් නිලධාරීන් ඇතැම් සතියකට වරක් වගේ අඩු සාක්ෂි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"බ්ලොග් ලියන අය අතුරින් කිහිපය මේ දවස්වල අසමතුලිත වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, එහෙම කියලා හැමෝම නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෛද්‍යවරුන් අහලා තියෙනවා රහසේ පාලනයක් තියෙනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස, රහසේ, පාලනය",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
එයාලා හරිම ඇත්තටම නරකයි. නවත්තන්න! ඉතින්.,HATE,නවත්ත,Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
එයාලා හැමදාම මෙහෙමයි: පිළිවෙලක් නෑ. සමාජය අවුල් කරනවා හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"පුවත් ආයතන ඇතැම් අවස්ථාවල වැඩි ආචාරධර්ම වැඩිපුර තබාගන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය admin ලා වැඩේ ඇත්තටම වගකීමක් නෑ. මිනිස්සුන්ට අමාරු කරනවා. නවත්තන්න! ඒකයි.,HATE,නවත්ත,Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
කණ්ඩායම් නායකයෝ කාලෙකට කාලෙට අවධානය අඩු වගේ වගේ හැඟෙන්න පුළුවන්. ඒත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෘත්තීයවේදීන් රහසේ මොකක්හරි කරනවා කියනවා, නමුත් පරීක්ෂා කරලා නැහැ.",DISINFO,"රහස, රහසේ, පරීක්ෂා කරලා",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"කාර්ය මණ්ඩලය කීප දෙනෙක් අදාල තත්ත්වය අනුව අසමතුලිත වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
එයාලා වැඩේ හදවතින්ම බොරුව. සමාජය අවුල් කරනවා. වගකීම ගන්න! ඒකයි.,HATE,"බොරු, වගකීම ගන්න",Matched hate/harassment lexicon (insults/commands/threat markers).
"කාර්ය මණ්ඩලය කීප දෙනෙක් සමහර වෙලාවට අවධානය අඩු වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පොලිස් නිලධාරීන් කිහිපදෙනෙක් අවස්ථා කිහිපයකදී අවධානය අඩු වගේ වගේ හැඟෙන්න පුළුවන්, හැබැයි හැමෝම ඒකට අයිති නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
යූටියුබර්ලා ගැන සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"රහස, තහවුරු",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"සමාජ මාධ්‍ය පරිශීලකයන් රහසේ මොකක්හරි කරනවා ගොඩක් අය කියනවා, නමුත් පරීක්ෂා කරලා නැහැ.",DISINFO,"රහස, රහසේ, පරීක්ෂා කරලා",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය සෙට් එක බොහොම අසාර්ථකයි. කඩිනම්ව වෙනස් වෙන්න! ඉතින්.,HATE,වෙනස් වෙන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
දේශපාලකයන් ගැන සියල්ලම නියම කරන්නේ එක රහස් කණ්ඩායමක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"රහස, තහවුරු",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය පාලකයෝට ලජ්ජා නැද්ද? මෙහෙම කරන්නේ හරිම අප්පිරියයි නෙමෙයිද?,HATE,අප්පිරිය,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔයා හදවතින්ම මෝඩ තීරණ නේද? දැන්ම හදාගන්න! ඉතින්.,HATE,මෝඩ,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔයා බොහොම අසාර්ථකයි නේද? වගකීම ගන්න! හරිද?,HATE,වගකීම ගන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
සමාජ මාධ්‍ය පරිශීලකයන් සතියකට වරක් වගේ අසමතුලිත වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. හැබැයි හැමෝම ඒකට අයිති නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය ටීම් එක හැමදාම මෙහෙමයි: වැඩකට නැහැ. මිනිස්සුන්ට අමාරු කරනවා,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය සෙට් එක බොහොම අදාල නැති වැඩ. දැන්ම හදාගන්න! ඉතින්.,HATE,අදාල නැති,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය ටීම් එකගේ වැඩ අන්ධ හැසිරීම ඉතින්.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
සමාජ මාධ්‍ය පරිශීලකයන් සතියකට වරක් වගේ අඩු සාක්ෂි වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය සෙට් එකට ලජ්ජා නැද්ද? මෙහෙම කරන්නේ අන්ධ හැසිරීම හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"පොලිස් නිලධාරීන් සමහර වෙලාවට වැඩි නිවැරදි කිරීමක් (correction) දාන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය කණ්ඩායම පිළිවෙලක් නෑ දැන් බලන්න.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"වෛද්‍යවරුන් සමහර පසුගිය කාලේදී අඩු සාක්ෂි වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයාලා ඇත්තටම නරකයි ඉතින්.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"කණ්ඩායම් නායකයෝ කුඩා පිරිසක් අවස්ථා කිහිපයකදී අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"බ්ලොග් ලියන අය තුළ දුර්වලතා කිහිපයක් තිබ්බත්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
බ්ලොග් ලියන අය ගැන බේරාගන්න නීති රහසේ වෙනස් කරනවා කතාවක් යනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"රහස, රහසේ, තහවුරු",Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
කාර්ය මණ්ඩලය ගැන කතා කරනකොට සාක්ෂි/දත්ත බලන්න ඕන. නමුත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
රාජ්‍ය සේවකයන් මේ දවස්වල අතිශය සරල වගේ පෙනෙන්න පුළුවන්. එහෙම කියලා හැමෝම නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය ටීම් එක කියන දේ අහන්නත් අමාරුයි. හරිම මෝඩ තීරණ. නවත්තන්න! ඉතින්.,HATE,"මෝඩ, නවත්ත",Harassing/commanding language Matched hate/harassment lexicon (insults/commands/threat markers).
"සමාජ මාධ්‍ය පරිශීලකයන් මේ දවස්වල වැඩි වගකීම වැඩි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයාලා කියන දේ අහන්නත් අමාරුයි. හදවතින්ම ඇත්තටම නරකයි. ආයෙම කරන්නේ නැතුව ඉන්න! නෙමෙයිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
වෘත්තීයවේදීන් ගැන බේරාගන්න නීති රහසේ වෙනස් කරනවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"රහස, රහසේ, ඇතුලේ කෙනෙක්, ඇතුලේ, තහවුරු",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
මේක ඔය පාලකයෝගේ පුරුද්දක් වගේ—වැඩකට නැහැ හරිද?,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
රාජ්‍ය සේවකයන් ගැන රහසේ පාලනයක් තියෙනවා හෙළිවුණා කියලා කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"රහස, රහසේ, හෙළි, හෙළිවුණා, පාලනය, තහවුරු",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"පොලිස් නිලධාරීන් සමහර වෙලාවට වැඩි තහවුරු කරලා කියන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"මාධ්යවේදීන් කිහිපදෙනෙක් මේ දවස්වල අතිශය සරල වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් බහුතරය එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
රාජ්‍ය සේවකයන් කාලෙකට කාලෙට අඩු සාක්ෂි වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්. ඒත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පොලිස් නිලධාරීන් ඇතැම් අවස්ථාවල වැඩි ආචාරධර්ම වැඩිපුර තබාගන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පුවත් ආයතන ප්‍රතිඵල අගය වෙනස් කරලා ජයගන්නවා කතාවක් යනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
"වෘත්තීයවේදීන් තුළ දුර්වලතා කිහිපයක් තිබ්බත්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය සෙට් එක ලජ්ජාවක් ඒකයි.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"වෘත්තීයවේදීන් හෙළිවුණා කියලා කියනවා රහසේ පාලනයක් තියෙනවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"රහස, රහසේ, හෙළි, හෙළිවුණා, පාලනය",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය පාලකයෝ වැඩේ අතිශය අසාර්ථකයි. වෙන අයට හානියක් කරනවා. වගකීම ගන්න! දැන් බලන්න.,HATE,වගකීම ගන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔයා හැමදාම මෙහෙමයි: කට්ට කාලයක් නාස්ති. බොරුව පතුරවනවා,HATE,බොරු,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය ටීම් එක ඇත්තටම කට්ට කාලයක් නාස්ති නේද? කඩිනම්ව වෙනස් වෙන්න! නෙමෙයිද?,HATE,වෙනස් වෙන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
"දේශපාලකයන් සැබෑ තොරතුරු සඟවලා බොරුව පතුරවනවා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,,"Disinfo label, but explicit disinfo markers were not detected by rules (consider manual review)."
කණ්ඩායම් නායකයෝ ගැන සැබෑ තොරතුරු සඟවලා බොරුව පතුරවනවා ඇතුලේ කෙනෙක් කියනවා. ඒක සත්‍යද කියලා තහවුරු කරගන්න ඕන.,DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ, තහවුරු",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"යූටියුබර්ලා අදාල තත්ත්වය අනුව වැඩි දත්ත/සාක්ෂි සමඟ වැඩිපුර පැහැදිලි කළ යුතුයි, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"බ්ලොග් ලියන අය සමහර මේ දවස්වල අපැහැදිලි වගේ පෙනෙන්න පුළුවන්, ඒත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය කණ්ඩායම හැමදාම මෙහෙමයි: බොරුව. විශ්වාසය කඩනවා හරිද?,HATE,බොරු,Matched hate/harassment lexicon (insults/commands/threat markers).
"වෛද්‍යවරුන් රහසේ පාලනයක් තියෙනවා හෙළිවුණා කියලා කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"රහස, රහසේ, හෙළි, හෙළිවුණා, පාලනය",Leaked/revealed framing Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ඔය සෙට් එක හැමදාම මෙහෙමයි: වැඩකට නැහැ. වෙන අයට හානියක් කරනවා ඒකයි.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය admin ලා සහමුලින්ම අදාල නැති වැඩ නේද? ආයෙම කරන්නේ නැතුව ඉන්න! හරිද?,HATE,අදාල නැති,Matched hate/harassment lexicon (insults/commands/threat markers).
ඔය පාලකයෝ කියන දේ අහන්නත් අමාරුයි. හරිම බොරුව. ආයෙම කරන්නේ නැතුව ඉන්න! නෙමෙයිද?,HATE,බොරු,Matched hate/harassment lexicon (insults/commands/threat markers).
යූටියුබර්ලා ඇතැම් අවස්ථාවල අතිශය සරල වගේ පෙනෙන්න පුළුවන්. ඒත් හැමෝම එකම විදිය නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"පොලිස් නිලධාරීන් ඇතුලේ කෙනෙක් කියනවා පිටරටවලින් මුදල් ගන්නවා, ඒකට හොඳ සාක්ෂි නෑ.",DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
ටික්ටොක්කර්ලා අලුත් ප්‍රවණතාවයක් වෙලා පක්ෂපාති වගේ අඩුපාඩු පේන්න පුළුවන්. එහෙම කියලා හැමෝම නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔයා කියන දේ අහන්නත් අමාරුයි. හදවතින්ම ඇත්තටම නරකයි. කඩිනම්ව වෙනස් වෙන්න!,HATE,වෙනස් වෙන්න,Matched hate/harassment lexicon (insults/commands/threat markers).
කාර්ය මණ්ඩලය ඇතැම් අවස්ථාවල අධික වේගයෙන් වගේ ප්‍රශ්න ඇති වෙන්න පුළුවන්. ඒත් හැමෝම එකම විදිය නෑ.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය පාලකයෝ සහමුලින්ම අසභ්‍ය වැඩ. දැන්ම හදාගන්න! ඉතින්.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
ඔය පාලකයෝ බොරුව,HATE,බොරු,Matched hate/harassment lexicon (insults/commands/threat markers).
කාර්ය මණ්ඩලය සමහර වෙලාවට අසමතුලිත වගේ ලගාවෙන් බලද්දි වෙනස් වෙන්න පුළුවන්. ඒත් හැමෝම එහෙම නෙවෙයි.,NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෛද්‍යවරුන් අතුරින් කිහිපය අලුත් ප්‍රවණතාවයක් වෙලා අතිශය සරල වගේ අඩුපාඩු පේන්න පුළුවන්, නමුත් හැමෝම එහෙම නෙවෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
ඔය ටීම් එකගේ වැඩ හරිම අප්පිරියයි හරිද?,HATE,අප්පිරිය,Matched hate/harassment lexicon (insults/commands/threat markers).
මේක ඔයාගේ පුරුද්දක් වගේ—පිළිවෙලක් නෑ ඉතින්.,HATE,,"Hate/harassment label, but explicit lexicon markers were not detected by rules (consider manual review)."
"බ්ලොග් ලියන අය අවස්ථා කිහිපයකදී වැඩි තහවුරු කරලා කියන්න ඕන, ඒකෙන් විශ්වාසය වැඩි වෙයි.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
"වෛද්‍යවරුන් පිටරටවලින් මුදල් ගන්නවා ඇතුලේ කෙනෙක් කියනවා, නමුත් නිල තොරතුරු නැහැ.",DISINFO,"ඇතුලේ කෙනෙක්, ඇතුලේ",Insider-source claim Matched disinformation-style lexicon (secret/insider/leak/virality/certainty markers).
"කණ්ඩායම් නායකයෝ ගැන අදහස් වෙනස් වෙන්න පුළුවන්, ඒත් හැමෝම එකම විදිය නෑ.",NORMAL,,Neutral/benign wording; no strong hate or disinfo markers detected.
