type,unsafe,clean
HATE,රජය අවබෝධයක් නැති රට විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නිලධාරීන් මෝඩ රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ඇමතිවරයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,දේශපාලකයන් ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පාර්ලිමේන්තුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,ආණ්ඩුව දූෂිත රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,නායකයා අයුතු රට විකුණනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන 100% සත්‍යයි,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ආණ්ඩුව ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,ඇමතිවරයා කූට සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,පාර්ලිමේන්තුව අවිශ්වාසනීය දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,නිලධාරීන් ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,දේශපාලකයන් කූට බොරුව පතුරවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,පාර්ලිමේන්තුව අවිශ්වාසනීය මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,රජය අයුතු ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,රජය ගොන් සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව අවබෝධයක් නැති රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,නිලධාරීන් අවබෝධයක් නැති දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පක්ෂය අවබෝධයක් නැති සත්‍ය සඟවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,රජය ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,දේශපාලකයන් අසාධාරණ රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,රජය ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,ආණ්ඩුව අවිශ්වාසනීය රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,කැබිනට් මණ්ඩලය අවබෝධයක් නැති රට විකුණනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,ඇමතිවරයා දූෂිත මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,ඇමතිවරයා ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,කැබිනට් මණ්ඩලය අවබෝධයක් නැති මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,පක්ෂය ගොන් රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නිලධාරීන් අයුතු රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,පක්ෂය අවබෝධයක් නැති බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,ඇමතිවරයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නායකයා ගැන සනාථ කරලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නිලධාරීන් අවබෝධයක් නැති ජනතාව විනාස කරනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,රජය අයුතු රට විකුණනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නායකයා අයුතු බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව වගකීමක් නැති සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නිලධාරීන් අයුතු දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,දේශපාලකයන් ගැන 100% සත්‍යයි,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,දේශපාලකයන් අවබෝධයක් නැති මිනිස්සු රවටනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,ආණ්ඩුව කූට මිනිස්සු රවටනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නායකයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,දේශපාලකයන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,රජය වගකීමක් නැති සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නායකයා අවබෝධයක් නැති රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නායකයා ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,කැබිනට් මණ්ඩලය පිස්සු රට කෑවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,රජය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ආණ්ඩුව ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පාර්ලිමේන්තුව ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නිලධාරීන් ගොන් බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,ආණ්ඩුව ගැන ලීක් වෙලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,මන්ත්‍රීවරු අවබෝධයක් නැති මිනිස්සු රවටනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව මෝඩ මිනිස්සු රවටනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,දේශපාලකයන් අසාධාරණ සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව අසාධාරණ රට විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,කැබිනට් මණ්ඩලය අයුතු රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,මන්ත්‍රීවරු ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පාර්ලිමේන්තුව ගොන් බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,පාර්ලිමේන්තුව අසාධාරණ දූෂණ කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,නායකයා ගොන් රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,නිලධාරීන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,පාර්ලිමේන්තුව අසාධාරණ මිනිස්සු රවටනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,නිලධාරීන් ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පක්ෂය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,පක්ෂය දූෂිත බොරුව පතුරවනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,පාර්ලිමේන්තුව අවබෝධයක් නැති රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,නායකයා අසාධාරණ සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,පක්ෂය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නිලධාරීන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,රජය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,ඇමතිවරයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ඇමතිවරයා ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,දේශපාලකයන් ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,ඇමතිවරයා ගැන සනාථ කරලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,ආණ්ඩුව ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,කැබිනට් මණ්ඩලය අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,මන්ත්‍රීවරු ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,රජය ගැන සනාථ කරලා තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,ඇමතිවරයා අවිශ්වාසනීය බොරුව පතුරවනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,ආණ්ඩුව වගකීමක් නැති රට විකුණනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,නායකයා ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නිලධාරීන් ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,ඇමතිවරයා ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පක්ෂය ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,රජය ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,පාර්ලිමේන්තුව අවිශ්වාසනීය රට කෑවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,මන්ත්‍රීවරු පිස්සු සත්‍ය සඟවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
DISINFO,දේශපාලකයන් ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,ඇමතිවරයා අවබෝධයක් නැති රට කෑවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,මන්ත්‍රීවරු අවිශ්වාසනීය දූෂණ කරනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,නිලධාරීන් වගකීමක් නැති රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,ආණ්ඩුව පිස්සු රට කෑවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන ලෝකයම පිළිගෙන තියෙනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ඇමතිවරයා ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,නායකයා ගැන සනාථ කරලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,දේශපාලකයන් ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
HATE,මන්ත්‍රීවරු අවබෝධයක් නැති ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
HATE,නායකයා අසාධාරණ ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,නිලධාරීන් ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,ආණ්ඩුව ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
DISINFO,දේශපාලකයන් ගැන රහස් වාර්තාවක් තියෙනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
HATE,නායකයා කූට මිනිස්සු රවටනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,පක්ෂය ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,මන්ත්‍රීවරු ගැන ලීක් වෙලා තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,පාර්ලිමේන්තුව වගකීමක් නැති රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,දේශපාලකයන් අවිශ්වාසනීය බොරුව පතුරවනවා,අපි ගෞරවයෙන් සංවාදය කරමු.
HATE,නායකයා අයුතු රට විනාස කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
HATE,මන්ත්‍රීවරු පිස්සු සත්‍ය සඟවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
DISINFO,කැබිනට් මණ්ඩලය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,රජය දූෂිත සත්‍ය සඟවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,පාර්ලිමේන්තුව ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,නිලධාරීන් දූෂිත රට විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
HATE,ආණ්ඩුව කූට රට විකුණනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පක්ෂය දූෂිත දූෂණ කරනවා,මෙම කරුණ පිළිබඳ මට එකඟ නොවෙයි. කරුණාකර සාක්ෂි සහිතව අදහස් දක්වමු.
DISINFO,නායකයා ගැන ලෝකයම පිළිගෙන තියෙනවා,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,ආණ්ඩුව අයුතු දූෂණ කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,ඇමතිවරයා ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය සත්‍යදැයි තහවුරු කිරීමට විශ්වාසනීය මූලාශ්‍රයක් අවශ්‍යයි.
HATE,පාර්ලිමේන්තුව කූට බොරුව පතුරවනවා,මෙම ක්‍රියාවන් සම්බන්ධයෙන් මට ගැටළුවක් ඇත. කරුණාකර පැහැදිලි කරන්න.
HATE,ඇමතිවරයා කූට ජනතාව විනාස කරනවා,මෙම කරුණ සම්බන්ධයෙන් විවේචනයක් ඇත. කරුණාකර සාකච්ඡා කරමු.
DISINFO,රජය ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,නිලධාරීන් ගැන අනිවාර්යයෙන්ම ඇත්ත,මෙය නොතහවුරු වූ තොරතුරක් විය හැක. නිල තහවුරු කිරීමක් අවශ්‍ය වේ.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පාර්ලිමේන්තුව ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
HATE,ඇමතිවරයා පිස්සු ජනතාව විනාස කරනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,කැබිනට් මණ්ඩලය ගැන 100% සත්‍යයි,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,නායකයා ගැන රහස් වාර්තාවක් තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
DISINFO,මන්ත්‍රීවරු ගැන විද්‍යාත්මකව සනාථයි කියලා කියනවා,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,කැබිනට් මණ්ඩලය ගැන රහස් වාර්තාවක් තියෙනවා,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
DISINFO,ආණ්ඩුව ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,ආණ්ඩුව ගැන 100% සත්‍යයි,කරුණාකර මූලාශ්‍රයක් සමඟ පමණක් බෙදාහදාගමු.
DISINFO,පක්ෂය ගැන අනිවාර්යයෙන්ම ඇත්ත,කරුණාකර නිල මූලාශ්‍රයක් හෝ සබැඳියක් ලබා දෙන්න.
HATE,රජය දූෂිත බොරුව පතුරවනවා,මෙම තීරණය සම්බන්ධයෙන් මට සැකයක් ඇත.
DISINFO,නිලධාරීන් ගැන ලීක් වෙලා තියෙනවා,මෙය තහවුරු කළ හැකි සාක්ෂි තිබේද?
